Column1;Column2;Column3;Column4
https://www.mediaworld.it/mw/informazioni/servizi-assicurativi-supporto-clienti;2477;353;1,42511E+15
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/preparazione-cibi/frullatori;8209;1719;2,09404E+15
"https://www.mediaworld.it/search/*?category=&amp;substringFilterCustomKeywords=VOL_25_270319_xr_tutti";20643;5233;2,535E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/accessori-fotografia/altri-accessori-fotografia;7847;1684;2,14604E+16
https://www.mediaworld.it/mw/LogonForm?catalogId=20000&myAcctMain=1&langId=-4&storeId=20000;2316;376;1,62349E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/hi-fi/componenti-separati;7980;1681;2,10652E+15
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/pulizia/accessori-pulizia;7743;1679;2,16841E+15
https://www.mediaworld.it/mw/TrackOrderStatus;2316;376;1,62349E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/periferiche-pc-e-accessori/hard-disk-di-rete-e-nas;4946;692;1,39911E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/stampa;8140;1697;2,08477E+16
https://www.mediaworld.it/catalogo/telefonia/apple-watch/accessori-apple-watch;6054;1106;1,82689E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/obiettivi-mirrorless/ottica-fissa-mirrorless;6711;1244;1,85367E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/sex-toys/set-di-sex-toys;4529;578;1,27622E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/connected-tv/apple-tv;4972;723;1,45414E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/hi-fi/giradischi;6777;1274;1,87989E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/baby-care/accessori-baby-care;4844;680;1,4038E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/utensili-da-cucina/bilance-da-cucina;7898;1701;2,15371E+16
https://www.mediaworld.it/catalogo/foto-e-videocamere/macchine-fotografiche/fotocamere-compatte;9009;1751;1,94361E+16
https://www.mediaworld.it/mw/mediaworld-it/informazioni/policy-videosorveglianza;2437;353;1,4485E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/speaker-pc-gaming;4732;633;1,3377E+15
https://www.mediaworld.it/product/p-991446;4609;643;1,3951E+15
https://www.mediaworld.it/catalogo/console-e-pc-gaming/nintendo-switch/giochi-switch;8005;1691;2,11243E+15
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/stiro-e-cucito/ferri-da-stiro-a-vapore;8467;1745;2,06094E+15
https://www.mediaworld.it/catalogo/console-e-pc-gaming/retrogaming/sega-megadrive-mini;4719;625;1,32443E+16
"https://www.mediaworld.it/search/*?category=&amp;substringFilterCustomKeywords=VOL_25_270319_s10_tutti";21859;5234;2,39444E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/tablet/cover-e-custodie-tablet;7765;1683;2,16742E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/periferiche-pc-e-accessori/connettivita;8233;1722;2,09158E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/complementi-cucina/accessori-complementi-cucina;7730;1665;2,15395E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/hard-disk-gaming;4954;694;1,40089E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio-per-auto/altoparlanti-auto;7558;1556;2,05875E+16
"https://www.mediaworld.it/search/*?category=&amp;substringFilterCustomKeywords=VOL_25_270319_p20lite";21859;5234;2,39444E+16
"https://www.mediaworld.it/search/*?category=&amp;substringFilterCustomKeywords=TRD_samsung_crystal";21859;5234;2,39444E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/cuffie-gaming;7944;1709;2,15131E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/tv/tv-qled;6817;1247;1,82925E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/sex-toys;7923;1679;2,11915E+16
"https://www.mediaworld.it/mw/TrackOrderStatus?orderStatusStyle=strong&amp;catalogId=20000&amp;langId=-4&amp;storeId=20000";2250;345;1,53333E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/mac/mac-mini;5557;888;1,59798E+15
